description,price,rating,review_count,url
"VIOTEK GNV29CB Ultrawide Curved 29-Inch Gaming Monitor | 120Hz UWFHD 21:9 w/Immersive 1200R VA Panel | FreeSync, G-SYNC-Compatible | 3-Year Warranty, 0-Tolerance Dead Pixel Policy (VESA)",$249.99,4.5 out of 5 stars,4271,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A027888325F30Q6M58RU5&url=%2FVIOTEK-GNV29CB-Ultrawide-29-Inch-Monitor%2Fdp%2FB08B7CXWP1%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1625280720%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-1-spons%26psc%3D1&qualifier=1625280720&id=1909313104290668&widgetName=sp_atf
"Cooler Master 34 Inch 21:9 Curved PC Gaming Monitor, Ultrawide Frameless QLED WQHD 3440x1440P Curve Screen 1500R VA Panel, HDMI 144Hz Builtin Speaker VESA Mounting Tilt Height Adjustment AMD FreeSync2",$735.00,4.6 out of 5 stars,115,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A038945220FRS3W1WZMEZ&url=%2FCooler-Master-Frameless-Monitor-3440x1440%2Fdp%2FB084ZLWJTY%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1625280720%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-2-spons%26psc%3D1%26smid%3DA1FEO2FBXOY7WI&qualifier=1625280720&id=1909313104290668&widgetName=sp_atf
"Lenovo G34w-10 34-Inch WQHD Curved Gaming Monitor, 21:9 Ultra-Wide, 3 Side NearEdgeless, 3440 x 1440, AMD FreeSync, 144Hz, HDMI, DP, Adjustable Stand, VESA, 66A1GCCBUS, Black",$369.99,4.2 out of 5 stars,129,https://www.amazon.com/Lenovo-G34w-10-34-Inch-Curved-Monitor/dp/B084R2XYM9/ref=sr_1_3?crid=1AU02VKAA00X0&dchild=1&keywords=ultrawide+monitor&qid=1625280720&sprefix=ultra%2Caps%2C198&sr=8-3
"LG 29WN600-W 29"" 21:9 UltraWide WFHD IPS HDR10 Monitor with FreeSync, Silver",$196.99,4.6 out of 5 stars,1935,https://www.amazon.com/LG-29WN600-W-29-21-UltraWide/dp/B0876DBCBX/ref=sr_1_4?crid=1AU02VKAA00X0&dchild=1&keywords=ultrawide+monitor&qid=1625280720&sprefix=ultra%2Caps%2C198&sr=8-4
"SAMSUNG 34-Inch Odyssey G5 Ultra-Wide Gaming Monitor with 1000R Curved Screen, 165Hz, 1ms, FreeSync Premium, WQHD (LC34G55TWWNXZA, 2020 Model), Black",$598.47,4.5 out of 5 stars,3596,https://www.amazon.com/SAMSUNG-34-Inch-Ultra-Wide-FreeSync-LC34G55TWWNXZA/dp/B08MVBYWGQ/ref=sr_1_5?crid=1AU02VKAA00X0&dchild=1&keywords=ultrawide+monitor&qid=1625280720&sprefix=ultra%2Caps%2C198&sr=8-5
"LG 34WN80C-B 34 inch 21:9 Curved UltraWide WQHD IPS Monitor with USB Type-C Connectivity sRGB 99 Percentage Color Gamut and HDR10 Compatibility, Black",$549.99,4.7 out of 5 stars,2545,https://www.amazon.com/LG-34WN80C-B-inch-Connectivity-Compatibility/dp/B07YGZ7C1K/ref=sr_1_6?crid=1AU02VKAA00X0&dchild=1&keywords=ultrawide+monitor&qid=1625280720&sprefix=ultra%2Caps%2C198&sr=8-6
LG 34WP65G-B 34-Inch 21:9 UltraWide Full HD (2560 x 1080) IPS Display with VESA DisplayHDR 400 and AMD FreeSync with Height and tilt Adjustable Stand - Black,$296.99,4.6 out of 5 stars,1076,https://www.amazon.com/LG-34WP65G-B-34-Inch-DisplayHDR-Adjustable/dp/B08RJ1BFJR/ref=sr_1_7?crid=1AU02VKAA00X0&dchild=1&keywords=ultrawide+monitor&qid=1625280720&sprefix=ultra%2Caps%2C198&sr=8-7
"SAMSUNG LC49RG90SSNXZA 49-Inch CRG9 Curved Gaming Monitor, Black, QHD, 120Hz","$1,180.00",4.5 out of 5 stars,2976,https://www.amazon.com/Samsung-Double-49-Inch-Monitor-LC49RG90SSNXZA/dp/B07L9HCJ2V/ref=sr_1_8?crid=1AU02VKAA00X0&dchild=1&keywords=ultrawide+monitor&qid=1625280720&sprefix=ultra%2Caps%2C198&sr=8-8
"MSI Optix MAG342CQR 1500R Curvature 21:9 Aspect Ratio Narrow Bezel 1ms 3440 x 1440 (UWQHD) 144Hz Refresh Rate Tilt/Swivel/Height/Pivot Adjustment 34"" AMD Freesync Gaming Curved Monitor",$429.99,3.9 out of 5 stars,26,https://www.amazon.com/MSI-Optix-MAG342CQR-1500R-Curvature/dp/B08S8W3MMM/ref=sr_1_9?crid=1AU02VKAA00X0&dchild=1&keywords=ultrawide+monitor&qid=1625280720&sprefix=ultra%2Caps%2C198&sr=8-9
"Sceptre Curved 49 inch (5120x1440) Dual QHD 32:9 Gaming Monitor up to 120Hz DisplayPort HDMI Build-in Speakers, Gunmetal Black 2021 (C505B-QSN168)","$1,164.33",4.4 out of 5 stars,28,https://www.amazon.com/Sceptre-Curved-inch-5120x1440-Build/dp/B08MVG653F/ref=sr_1_10?crid=1AU02VKAA00X0&dchild=1&keywords=ultrawide+monitor&qid=1625280720&sprefix=ultra%2Caps%2C198&sr=8-10
"VIOTEK GNV30CBXA 30-Inch 200hz Ultrawide Curved Gaming Monitor 1080p 21:9 VA Panel w/ 112% sRGB, FreeSync & GSYNC Ready, HDMI 2.0, DisplayPort, Audio Out, VESA — 3 Years Zero Dead Pixels",$349.99,4.5 out of 5 stars,5335,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07270122JOTZUBLQFZ8S&url=%2FVIOTEK-GNV30CBXA-30-Inch-Ultrawide-Monitor%2Fdp%2FB094PNSBVR%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1625280720%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-11-spons%26psc%3D1&qualifier=1625280720&id=1909313104290668&widgetName=sp_mtf
